date,external_symbol,external_change_pct,a_share_theme,a_open_pct_next,a_high_pct_next,a_low_pct_next,a_close_pct_next
2026-01-05,MU,5.6,存储芯片,0.9,3.1,-0.7,2.0
2026-01-18,MU,7.2,存储芯片,1.5,4.2,-1.1,2.8
2026-02-02,MU,5.1,存储芯片,0.6,2.0,-1.4,-0.3
2026-02-19,MU,8.3,存储芯片,1.8,5.6,-0.5,3.7
2026-03-08,MU,6.4,存储芯片,1.1,2.8,-2.2,0.8
2026-03-27,MU,5.8,存储芯片,0.7,1.9,-1.7,-0.5
2026-04-11,MU,9.0,存储芯片,2.0,6.2,-0.3,4.1
2026-04-29,MU,5.3,存储芯片,0.4,2.1,-1.0,1.2
2026-01-07,NVDA,4.8,AI算力,0.6,2.4,-0.8,1.3
2026-02-14,NVDA,6.2,AI算力,1.2,3.2,-1.1,2.2
2026-03-19,NVDA,5.5,AI算力,0.8,2.1,-2.0,-0.4
2026-04-03,NVDA,3.6,AI算力,0.5,1.8,-0.7,0.9
2026-04-22,NVDA,7.0,AI算力,1.5,4.0,-0.6,2.8
2026-01-09,AVGO,4.1,CPO,0.9,3.5,-1.0,1.7
2026-01-29,AVGO,5.4,CPO,1.3,4.4,-1.2,2.4
2026-02-26,AVGO,3.7,CPO,0.7,2.8,-1.8,-0.2
2026-03-15,AVGO,6.1,CPO,1.4,5.0,-0.9,3.1
2026-04-20,AVGO,4.8,CPO,1.0,3.1,-1.5,1.0
2026-01-11,GC=F,1.6,黄金,0.3,1.0,-0.3,0.6
2026-02-06,GC=F,2.1,黄金,0.5,1.6,-0.4,1.1
2026-03-12,GC=F,1.8,黄金,0.4,1.2,-0.5,0.2
2026-04-08,GC=F,2.4,黄金,0.7,2.0,-0.2,1.5
2026-04-25,GC=F,1.7,黄金,0.2,0.8,-0.8,-0.1
